"Default","checkingstatus1","duration","history","purpose","amount","savings","employ","installment","status","others","residence","property","age","otherplans","housing","cards","job","liable","tele","foreign","rent"
"0","A14",24,"poor","goods/repair",3430,"A63","A75",3,"A93","A101","2","A123",31,"A143","A152","1","A173","2","A192","foreign","FALSE"
"0","A14",9,"terrible","newcar",2134,"A61","A73",4,"A93","A101","4","A123",48,"A143","A152","3","A173","1","A192","foreign","FALSE"
"0","A11",6,"poor","goods/repair",2647,"A63","A73",2,"A93","A101","3","A121",44,"A143","A151","1","A173","2","A191","foreign","TRUE"
"0","A11",10,"terrible","newcar",2241,"A61","A72",1,"A93","A101","3","A121",48,"A143","A151","2","A172","2","A191","german","TRUE"
"0","A12",12,"terrible","usedcar",1804,"A62","A72",3,"A93","A101","4","A122",44,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",10,"terrible","goods/repair",2069,"A65","A73",2,"A94","A101","1","A123",26,"A143","A152","2","A173","1","A191","german","FALSE"
"0","A11",6,"poor","goods/repair",1374,"A61","A73",1,"A93","A101","2","A121",36,"A141","A152","1","A172","1","A192","foreign","FALSE"
"0","A14",6,"good","goods/repair",426,"A61","A75",4,"A94","A101","4","A123",39,"A143","A152","1","A172","1","A191","foreign","FALSE"
"0","A13",12,"good","goods/repair",409,"A64","A73",3,"A92","A101","3","A121",42,"A143","A151","2","A173","1","A191","foreign","TRUE"
"0","A12",7,"poor","goods/repair",2415,"A61","A73",3,"A93","A103","2","A121",34,"A143","A152","1","A173","1","A191","foreign","FALSE"
"1","A11",60,"poor","biz",6836,"A61","A75",3,"A93","A101","4","A124",63,"A143","A152","2","A173","1","A192","foreign","FALSE"
"0","A12",18,"poor","biz",1913,"A64","A72",3,"A94","A101","3","A121",36,"A141","A152","1","A173","1","A192","foreign","FALSE"
"0","A11",24,"poor","goods/repair",4020,"A61","A73",2,"A93","A101","2","A123",27,"A142","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",18,"poor","newcar",5866,"A62","A73",2,"A93","A101","2","A123",30,"A143","A152","2","A173","1","A192","foreign","FALSE"
"0","A14",12,"terrible","biz",1264,"A65","A75",4,"A93","A101","4","A124",57,"A143","A151","1","A172","1","A191","foreign","TRUE"
"0","A13",12,"poor","goods/repair",1474,"A61","A72",4,"A92","A101","1","A122",33,"A141","A152","1","A174","1","A192","foreign","FALSE"
"1","A12",45,"terrible","goods/repair",4746,"A61","A72",4,"A93","A101","2","A122",25,"A143","A152","2","A172","1","A191","foreign","FALSE"
"0","A14",48,"terrible","edu",6110,"A61","A73",1,"A93","A101","3","A124",31,"A141","A153","1","A173","1","A192","foreign","FALSE"
"1","A13",18,"poor","goods/repair",2100,"A61","A73",4,"A93","A102","2","A121",37,"A142","A152","1","A173","1","A191","foreign","FALSE"
"0","A13",10,"poor","goods/repair",1225,"A61","A73",2,"A93","A101","2","A123",37,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A12",9,"poor","goods/repair",458,"A61","A73",4,"A93","A101","3","A121",24,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",30,"poor","goods/repair",2333,"A63","A75",4,"A93","A101","2","A123",30,"A141","A152","1","A174","1","A191","foreign","FALSE"
"0","A12",12,"poor","goods/repair",1158,"A63","A73",3,"A91","A101","1","A123",26,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A12",18,"poor","goods/repair",6204,"A61","A73",2,"A93","A101","4","A121",44,"A143","A152","1","A172","2","A192","foreign","FALSE"
"0","A11",30,"terrible","usedcar",6187,"A62","A74",1,"A94","A101","4","A123",24,"A143","A151","2","A173","1","A191","foreign","TRUE"
"1","A11",48,"terrible","usedcar",6143,"A61","A75",4,"A92","A101","4","A124",58,"A142","A153","2","A172","1","A191","foreign","FALSE"
"0","A14",11,"terrible","newcar",1393,"A61","A72",4,"A92","A101","4","A123",35,"A143","A152","2","A174","1","A191","foreign","FALSE"
"0","A14",36,"poor","goods/repair",2299,"A63","A75",4,"A93","A101","4","A123",39,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A11",6,"poor","usedcar",1352,"A63","A71",1,"A92","A101","2","A122",23,"A143","A151","1","A171","1","A192","foreign","TRUE"
"0","A14",11,"terrible","newcar",7228,"A61","A73",1,"A93","A101","4","A122",39,"A143","A152","2","A172","1","A191","foreign","FALSE"
"0","A14",12,"poor","goods/repair",2073,"A62","A73",4,"A92","A102","2","A121",28,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",24,"poor","goods/repair",2333,"A65","A72",4,"A93","A101","2","A122",29,"A141","A152","1","A172","1","A191","foreign","FALSE"
"0","A12",27,"poor","usedcar",5965,"A61","A75",1,"A93","A101","2","A123",30,"A143","A152","2","A174","1","A192","foreign","FALSE"
"0","A14",12,"poor","goods/repair",1262,"A61","A73",3,"A93","A101","2","A123",25,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",18,"poor","usedcar",3378,"A65","A73",2,"A93","A101","1","A122",31,"A143","A152","1","A173","1","A192","foreign","FALSE"
"1","A12",36,"poor","newcar",2225,"A61","A75",4,"A93","A101","4","A124",57,"A141","A153","2","A173","1","A192","foreign","FALSE"
"0","A14",6,"good","newcar",783,"A65","A73",1,"A93","A103","2","A121",26,"A142","A152","1","A172","2","A191","foreign","FALSE"
"1","A12",12,"poor","goods/repair",6468,"A65","A71",2,"A93","A101","1","A124",52,"A143","A152","1","A174","1","A192","foreign","FALSE"
"0","A14",36,"terrible","goods/repair",9566,"A61","A73",2,"A92","A101","2","A123",31,"A142","A152","2","A173","1","A191","foreign","FALSE"
"0","A13",18,"poor","newcar",1961,"A61","A75",3,"A92","A101","2","A123",23,"A143","A152","1","A174","1","A191","foreign","FALSE"
"1","A11",36,"terrible","goods/repair",6229,"A61","A72",4,"A92","A102","4","A124",23,"A143","A151","2","A172","1","A192","foreign","TRUE"
"0","A12",9,"poor","biz",1391,"A61","A73",2,"A94","A101","1","A121",27,"A141","A152","1","A173","1","A192","foreign","FALSE"
"0","A12",15,"terrible","goods/repair",1537,"A65","A75",4,"A93","A103","4","A121",50,"A143","A152","2","A173","1","A192","foreign","FALSE"
"1","A12",36,"good","biz",1953,"A61","A75",4,"A93","A101","4","A124",61,"A143","A153","1","A174","1","A192","foreign","FALSE"
"1","A12",48,"good","biz",14421,"A61","A73",2,"A93","A101","2","A123",25,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A14",24,"poor","goods/repair",3181,"A61","A72",4,"A92","A101","4","A122",26,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A14",27,"poor","goods/repair",5190,"A65","A75",4,"A93","A101","4","A122",48,"A143","A152","4","A173","2","A192","foreign","FALSE"
"0","A14",12,"poor","goods/repair",2171,"A61","A72",2,"A92","A101","2","A123",29,"A141","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",12,"poor","newcar",1007,"A64","A73",4,"A94","A101","1","A121",22,"A143","A152","1","A173","1","A191","foreign","FALSE"
"1","A14",36,"poor","edu",1819,"A61","A73",4,"A93","A101","4","A124",37,"A142","A153","1","A173","1","A192","foreign","FALSE"
"0","A14",36,"poor","goods/repair",2394,"A65","A73",4,"A92","A101","4","A123",25,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",36,"poor","usedcar",8133,"A61","A73",1,"A92","A101","2","A122",30,"A141","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",7,"terrible","goods/repair",730,"A65","A75",4,"A93","A101","2","A122",46,"A143","A151","2","A172","1","A192","foreign","TRUE"
"0","A11",8,"terrible","biz",1164,"A61","A75",3,"A93","A101","4","A124",51,"A141","A153","2","A174","2","A192","foreign","FALSE"
"0","A12",42,"terrible","biz",5954,"A61","A74",2,"A92","A101","1","A121",41,"A141","A152","2","A172","1","A191","foreign","FALSE"
"1","A11",36,"poor","edu",1977,"A65","A75",4,"A93","A101","4","A124",40,"A143","A152","1","A174","1","A192","foreign","FALSE"
"0","A11",12,"terrible","usedcar",1526,"A61","A75",4,"A93","A101","4","A124",66,"A143","A153","2","A174","1","A191","foreign","FALSE"
"1","A11",42,"poor","goods/repair",3965,"A61","A72",4,"A93","A101","3","A123",34,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",11,"poor","goods/repair",4771,"A61","A74",2,"A93","A101","4","A122",51,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",54,"good","usedcar",9436,"A65","A73",2,"A93","A101","2","A122",39,"A143","A152","1","A172","2","A191","foreign","FALSE"
"0","A12",30,"poor","goods/repair",3832,"A61","A72",2,"A94","A101","1","A122",22,"A143","A152","1","A173","1","A191","foreign","FALSE"
"1","A14",24,"poor","goods/repair",5943,"A65","A72",1,"A92","A101","1","A123",44,"A143","A152","2","A173","1","A192","foreign","FALSE"
"0","A14",15,"poor","goods/repair",1213,"A63","A75",4,"A93","A101","3","A122",47,"A142","A152","1","A173","1","A192","foreign","FALSE"
"0","A14",18,"poor","biz",1568,"A62","A73",3,"A92","A101","4","A122",24,"A143","A151","1","A172","1","A191","foreign","TRUE"
"0","A11",24,"poor","biz",1755,"A61","A75",4,"A92","A103","4","A121",58,"A143","A152","1","A172","1","A192","foreign","FALSE"
"0","A11",10,"poor","goods/repair",2315,"A61","A75",3,"A93","A101","4","A121",52,"A143","A152","1","A172","1","A191","foreign","FALSE"
"0","A14",12,"terrible","biz",1412,"A61","A73",4,"A92","A103","2","A121",29,"A143","A152","2","A174","1","A192","foreign","FALSE"
"0","A12",18,"terrible","goods/repair",1295,"A61","A72",4,"A92","A101","1","A122",27,"A143","A152","2","A173","1","A191","foreign","FALSE"
"1","A12",36,"poor","edu",12612,"A62","A73",1,"A93","A101","4","A124",47,"A143","A153","1","A173","2","A192","foreign","FALSE"
"0","A11",18,"poor","newcar",2249,"A62","A74",4,"A93","A101","3","A123",30,"A143","A152","1","A174","2","A192","foreign","FALSE"
"1","A11",12,"good","goods/repair",1108,"A61","A74",4,"A93","A101","3","A121",28,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A14",12,"terrible","goods/repair",618,"A61","A75",4,"A93","A101","4","A121",56,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A11",12,"terrible","usedcar",1409,"A61","A75",4,"A93","A101","3","A121",54,"A143","A152","1","A173","1","A191","foreign","FALSE"
"1","A14",12,"terrible","goods/repair",797,"A65","A75",4,"A92","A101","3","A122",33,"A141","A152","1","A172","2","A191","foreign","FALSE"
"0","A13",24,"terrible","goods/repair",3617,"A65","A75",4,"A93","A102","4","A124",20,"A143","A151","2","A173","1","A191","foreign","TRUE"
"0","A12",12,"poor","newcar",1318,"A64","A75",4,"A93","A101","4","A121",54,"A143","A152","1","A173","1","A192","foreign","FALSE"
"1","A12",54,"good","biz",15945,"A61","A72",3,"A93","A101","4","A124",58,"A143","A151","1","A173","1","A192","foreign","TRUE"
"0","A14",12,"terrible","edu",2012,"A65","A74",4,"A92","A101","2","A123",61,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",18,"poor","biz",2622,"A62","A73",4,"A93","A101","4","A123",34,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",36,"terrible","goods/repair",2337,"A61","A75",4,"A93","A101","4","A121",36,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",20,"poor","usedcar",7057,"A65","A74",3,"A93","A101","4","A122",36,"A141","A151","2","A174","2","A192","foreign","TRUE"
"0","A14",24,"poor","newcar",1469,"A62","A75",4,"A94","A101","4","A121",41,"A143","A151","1","A172","1","A191","foreign","TRUE"
"0","A12",36,"poor","goods/repair",2323,"A61","A74",4,"A93","A101","4","A123",24,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A14",6,"poor","goods/repair",932,"A61","A73",3,"A92","A101","2","A121",24,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",9,"terrible","goods/repair",1919,"A61","A74",4,"A93","A101","3","A123",35,"A143","A151","1","A173","1","A192","foreign","TRUE"
"0","A14",12,"poor","usedcar",2445,"A65","A72",2,"A94","A101","4","A123",26,"A143","A151","1","A173","1","A192","foreign","TRUE"
"1","A12",24,"terrible","biz",11938,"A61","A73",2,"A93","A102","3","A123",39,"A143","A152","2","A174","2","A192","foreign","FALSE"
"1","A14",18,"good","newcar",6458,"A61","A75",2,"A93","A101","4","A124",39,"A141","A152","2","A174","2","A192","foreign","FALSE"
"0","A12",12,"poor","newcar",6078,"A61","A74",2,"A93","A101","2","A123",32,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A11",24,"poor","goods/repair",7721,"A65","A72",1,"A92","A101","2","A122",30,"A143","A152","1","A173","1","A192","german","FALSE"
"0","A12",14,"poor","biz",1410,"A63","A75",1,"A94","A101","2","A121",35,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A12",6,"poor","biz",1449,"A62","A75",1,"A91","A101","2","A123",31,"A141","A152","2","A173","2","A191","foreign","FALSE"
"0","A13",15,"poor","edu",392,"A61","A72",4,"A92","A101","4","A122",23,"A143","A151","1","A173","1","A192","foreign","TRUE"
"0","A12",18,"poor","newcar",6260,"A61","A74",3,"A93","A101","3","A121",28,"A143","A151","1","A172","1","A191","foreign","TRUE"
"1","A14",36,"terrible","newcar",7855,"A61","A73",4,"A92","A101","2","A121",25,"A142","A152","2","A173","1","A192","foreign","FALSE"
"0","A11",12,"poor","goods/repair",1680,"A63","A75",3,"A94","A101","1","A121",35,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",48,"terrible","goods/repair",3578,"A65","A75",4,"A93","A101","1","A121",47,"A143","A152","1","A173","1","A192","foreign","FALSE"
"1","A11",42,"poor","goods/repair",7174,"A65","A74",4,"A92","A101","3","A123",30,"A143","A152","1","A174","1","A192","foreign","FALSE"
"0","A11",10,"terrible","goods/repair",2132,"A65","A72",2,"A92","A102","3","A121",27,"A143","A151","2","A173","1","A191","german","TRUE"
"1","A11",33,"terrible","goods/repair",4281,"A63","A73",1,"A92","A101","4","A123",23,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A12",12,"terrible","newcar",2366,"A63","A74",3,"A91","A101","3","A123",36,"A143","A152","1","A174","1","A192","foreign","FALSE"
"1","A11",21,"poor","goods/repair",1835,"A61","A73",3,"A92","A101","2","A121",25,"A143","A152","2","A173","1","A192","foreign","FALSE"
"0","A14",24,"terrible","usedcar",3868,"A61","A75",4,"A92","A101","2","A123",41,"A143","A151","2","A174","1","A192","foreign","TRUE"
"0","A14",12,"poor","goods/repair",1768,"A61","A73",3,"A93","A101","2","A121",24,"A143","A151","1","A172","1","A191","foreign","TRUE"
"0","A13",10,"terrible","newcar",781,"A61","A75",4,"A93","A101","4","A124",63,"A143","A153","2","A173","1","A192","foreign","FALSE"
"1","A12",18,"poor","goods/repair",1924,"A65","A72",4,"A92","A101","3","A121",27,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A11",12,"terrible","newcar",2121,"A61","A73",4,"A93","A101","2","A122",30,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A11",12,"poor","goods/repair",701,"A61","A73",4,"A94","A101","2","A121",40,"A143","A152","1","A172","1","A191","foreign","FALSE"
"1","A12",12,"poor","goods/repair",639,"A61","A73",4,"A93","A101","2","A123",30,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",12,"terrible","usedcar",1860,"A61","A71",4,"A93","A101","2","A123",34,"A143","A152","2","A174","1","A192","foreign","FALSE"
"1","A11",12,"terrible","newcar",3499,"A61","A73",3,"A92","A102","2","A121",29,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A12",48,"poor","newcar",8487,"A65","A74",1,"A92","A101","2","A123",24,"A143","A152","1","A173","1","A191","foreign","FALSE"
"1","A11",36,"poor","edu",6887,"A61","A73",4,"A93","A101","3","A122",29,"A142","A152","1","A173","1","A192","foreign","FALSE"
"0","A14",15,"poor","goods/repair",2708,"A61","A72",2,"A93","A101","3","A122",27,"A141","A152","2","A172","1","A191","foreign","FALSE"
"0","A14",18,"poor","goods/repair",1984,"A61","A73",4,"A93","A101","4","A124",47,"A141","A153","2","A173","1","A191","foreign","FALSE"
"0","A14",60,"poor","goods/repair",10144,"A62","A74",2,"A92","A101","4","A121",21,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A14",12,"terrible","goods/repair",1240,"A65","A75",4,"A92","A101","2","A121",38,"A143","A152","2","A173","1","A192","foreign","FALSE"
"0","A14",27,"poor","usedcar",8613,"A64","A73",2,"A93","A101","2","A123",27,"A143","A152","2","A173","1","A191","foreign","FALSE"
"1","A12",12,"poor","goods/repair",766,"A63","A73",4,"A93","A101","3","A121",66,"A143","A152","1","A172","1","A191","foreign","FALSE"
"0","A12",15,"terrible","goods/repair",2728,"A65","A74",4,"A93","A103","2","A121",35,"A141","A152","3","A173","1","A192","foreign","FALSE"
"0","A13",12,"poor","goods/repair",1881,"A61","A73",2,"A92","A101","2","A123",44,"A143","A151","1","A172","1","A192","foreign","TRUE"
"0","A13",6,"poor","newcar",709,"A64","A72",2,"A94","A101","2","A121",27,"A143","A152","1","A171","1","A191","german","FALSE"
"0","A12",36,"poor","goods/repair",4795,"A61","A72",4,"A92","A101","1","A124",30,"A143","A152","1","A174","1","A192","foreign","FALSE"
"0","A11",27,"poor","goods/repair",3416,"A61","A73",3,"A93","A101","2","A123",27,"A143","A152","1","A174","1","A191","foreign","FALSE"
"1","A11",18,"poor","goods/repair",2462,"A61","A73",2,"A93","A101","2","A123",22,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",21,"terrible","goods/repair",2288,"A61","A72",4,"A92","A101","4","A122",23,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A12",48,"good","biz",3566,"A62","A74",4,"A93","A101","2","A123",30,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A11",6,"terrible","newcar",860,"A61","A75",1,"A92","A101","4","A124",39,"A143","A152","2","A173","1","A192","foreign","FALSE"
"0","A14",12,"terrible","newcar",682,"A62","A74",4,"A92","A101","3","A123",51,"A143","A152","2","A173","1","A192","foreign","FALSE"
"0","A11",36,"terrible","goods/repair",5371,"A61","A73",3,"A93","A103","2","A122",28,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A14",18,"terrible","goods/repair",1582,"A64","A75",4,"A93","A101","4","A123",46,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A14",6,"poor","goods/repair",1346,"A62","A75",2,"A93","A101","4","A124",42,"A141","A153","1","A173","2","A192","foreign","FALSE"
"0","A14",10,"poor","goods/repair",1924,"A61","A73",1,"A93","A101","4","A122",38,"A143","A152","1","A173","1","A192","german","FALSE"
"0","A13",36,"poor","goods/repair",5848,"A61","A73",4,"A93","A101","1","A123",24,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",24,"terrible","usedcar",7758,"A64","A75",2,"A92","A101","4","A124",29,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A12",24,"poor","biz",6967,"A62","A74",4,"A93","A101","4","A123",36,"A143","A151","1","A174","1","A192","foreign","TRUE"
"1","A11",12,"poor","goods/repair",1282,"A61","A73",2,"A92","A101","4","A123",20,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A11",9,"terrible","goods/repair",1288,"A62","A75",3,"A93","A103","4","A121",48,"A143","A152","2","A173","2","A191","german","FALSE"
"0","A11",12,"good","edu",339,"A61","A75",4,"A94","A101","1","A123",45,"A141","A152","1","A172","1","A191","foreign","FALSE"
"0","A12",24,"poor","newcar",3512,"A62","A74",2,"A93","A101","3","A123",38,"A141","A152","2","A173","1","A192","foreign","FALSE"
"0","A14",6,"terrible","goods/repair",1898,"A65","A73",1,"A93","A101","2","A121",34,"A143","A152","2","A172","2","A191","foreign","FALSE"
"0","A14",24,"terrible","goods/repair",2872,"A62","A75",3,"A93","A101","4","A121",36,"A143","A152","1","A173","2","A192","foreign","FALSE"
"0","A14",18,"terrible","newcar",1055,"A61","A72",4,"A92","A101","1","A122",30,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A14",15,"poor","goods/repair",1262,"A63","A74",4,"A93","A101","3","A122",36,"A143","A152","2","A173","1","A192","foreign","FALSE"
"0","A12",10,"poor","newcar",7308,"A61","A71",2,"A93","A101","4","A124",70,"A141","A153","1","A174","1","A192","foreign","FALSE"
"0","A14",36,"poor","newcar",909,"A63","A75",4,"A93","A101","4","A122",36,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",6,"poor","goods/repair",2978,"A63","A73",1,"A93","A101","2","A123",32,"A143","A152","1","A173","1","A192","foreign","FALSE"
"1","A11",18,"poor","goods/repair",1131,"A61","A71",4,"A92","A101","2","A123",33,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",11,"poor","goods/repair",1577,"A64","A72",4,"A92","A101","1","A121",20,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",24,"poor","goods/repair",3972,"A61","A74",2,"A92","A101","4","A122",25,"A143","A151","1","A173","1","A192","foreign","TRUE"
"1","A12",24,"terrible","biz",1935,"A61","A75",4,"A91","A101","4","A121",31,"A143","A152","2","A173","1","A192","foreign","FALSE"
"1","A11",15,"good","newcar",950,"A61","A75",4,"A93","A101","3","A123",33,"A143","A151","2","A173","2","A191","foreign","TRUE"
"0","A14",12,"poor","goods/repair",763,"A61","A73",4,"A92","A101","1","A121",26,"A143","A152","1","A173","1","A192","foreign","FALSE"
"1","A12",24,"poor","goods/repair",2064,"A61","A71",3,"A92","A101","2","A122",34,"A143","A152","1","A174","1","A192","foreign","FALSE"
"0","A12",8,"poor","goods/repair",1414,"A61","A73",4,"A93","A103","2","A121",33,"A143","A152","1","A173","1","A191","german","FALSE"
"1","A11",21,"poor","edu",3414,"A61","A72",2,"A93","A101","1","A122",26,"A143","A152","2","A173","1","A191","foreign","FALSE"
"1","A14",30,"good","usedcar",7485,"A65","A71",4,"A92","A101","1","A121",53,"A141","A152","1","A174","1","A192","foreign","FALSE"
"0","A11",12,"poor","goods/repair",2577,"A61","A73",2,"A91","A101","1","A123",42,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A11",6,"terrible","goods/repair",338,"A63","A75",4,"A93","A101","4","A123",52,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A14",12,"poor","goods/repair",1963,"A61","A74",4,"A93","A101","2","A123",31,"A143","A151","2","A174","2","A192","foreign","TRUE"
"0","A11",21,"terrible","newcar",571,"A61","A75",4,"A93","A101","4","A121",65,"A143","A152","2","A173","1","A191","foreign","FALSE"
"1","A14",36,"poor","biz",9572,"A61","A72",1,"A91","A101","1","A123",28,"A143","A152","2","A173","1","A191","foreign","FALSE"
"1","A12",36,"poor","biz",4455,"A61","A73",2,"A91","A101","2","A121",30,"A142","A152","2","A174","1","A192","foreign","FALSE"
"1","A11",21,"good","newcar",1647,"A65","A73",4,"A93","A101","2","A122",40,"A143","A152","2","A172","2","A191","foreign","FALSE"
"0","A14",24,"terrible","goods/repair",3777,"A64","A73",4,"A93","A101","4","A121",50,"A143","A152","1","A173","1","A192","foreign","FALSE"
"1","A12",18,"terrible","newcar",884,"A61","A75",4,"A93","A101","4","A123",36,"A141","A152","1","A173","2","A192","foreign","FALSE"
"0","A14",15,"terrible","goods/repair",1360,"A61","A73",4,"A93","A101","2","A122",31,"A143","A152","2","A173","1","A191","foreign","FALSE"
"1","A12",9,"good","usedcar",5129,"A61","A75",2,"A92","A101","4","A124",74,"A141","A153","1","A174","2","A192","foreign","FALSE"
"0","A12",16,"terrible","newcar",1175,"A61","A71",2,"A93","A101","3","A123",68,"A143","A153","3","A171","1","A192","foreign","FALSE"
"1","A11",12,"poor","goods/repair",674,"A62","A74",4,"A94","A101","1","A122",20,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",18,"good","goods/repair",3244,"A61","A73",1,"A92","A101","4","A123",33,"A141","A152","2","A173","1","A192","foreign","FALSE"
"1","A14",24,"poor","biz",4591,"A64","A73",2,"A93","A101","3","A122",54,"A143","A152","3","A174","1","A192","foreign","FALSE"
"1","A12",48,"good","biz",3844,"A62","A74",4,"A93","A101","4","A124",34,"A143","A153","1","A172","2","A191","foreign","FALSE"
"1","A12",27,"poor","biz",3915,"A61","A73",4,"A93","A101","2","A123",36,"A143","A152","1","A173","2","A192","foreign","FALSE"
"0","A14",6,"poor","goods/repair",2108,"A61","A74",2,"A94","A101","2","A121",29,"A143","A151","1","A173","1","A191","foreign","TRUE"
"1","A12",45,"poor","goods/repair",3031,"A62","A73",4,"A93","A103","4","A122",21,"A143","A151","1","A173","1","A191","foreign","TRUE"
"1","A12",9,"terrible","edu",1501,"A61","A75",2,"A92","A101","3","A123",34,"A143","A152","2","A174","1","A192","foreign","FALSE"
"0","A14",6,"terrible","goods/repair",1382,"A61","A73",1,"A92","A101","1","A123",28,"A143","A152","2","A173","1","A192","foreign","FALSE"
"1","A12",12,"poor","goods/repair",951,"A62","A72",4,"A92","A101","4","A123",27,"A141","A151","4","A173","1","A191","foreign","TRUE"
