"MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","SalePrice"
50,"C (all)",105,8470,"Pave","IR1","Lvl","AllPub","Corner","Gtl","IDOTRR","Feedr","Feedr","1Fam","1.5Fin",3,2,1915,1982,"Hip","CompShg","Plywood",85000
20,"RL",60,8070,"Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",4,5,1994,1995,"Gable","CompShg","VinylSd",123600
20,"RL",60,7200,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1950,1950,"Gable","CompShg","BrkFace",109900
20,"RL",85,8500,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,3,1961,1961,"Hip","CompShg","HdBoard",98600
30,"RL",80,13360,"Pave","IR1","HLS","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","1Story",5,7,1921,2006,"Gable","CompShg","Wd Sdng",163500
190,"C (all)",60,7200,"Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","2fmCon","2.5Unf",6,6,1910,1998,"Hip","CompShg","MetalSd",133900
60,"RL",69,9337,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",6,5,1997,1997,"Gable","CompShg","VinylSd",204750
20,"RL",78,10264,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,1999,1999,"Gable","CompShg","VinylSd",214000
20,"RL",73,10921,"Pave","Reg","HLS","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,5,1965,1965,"Hip","CompShg","HdBoard",94750
30,"RL",85,10625,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,5,1920,1950,"Gable","CompShg","Wd Sdng",83000
20,"RL",77,9320,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1959,1959,"Gable","CompShg","Plywood",128950
60,"RL",77,9206,"Pave","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,5,1985,1985,"Gable","CompShg","HdBoard",178000
90,"RL",64,7018,"Pave","Reg","Bnk","AllPub","Inside","Gtl","SawyerW","Norm","Norm","Duplex","1Story",5,5,1979,1979,"Gable","CompShg","HdBoard",118964
20,"RL",94,10402,"Pave","IR1","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2009,2009,"Gable","CompShg","VinylSd",198900
60,"FV",75,9375,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",8,5,2003,2004,"Hip","CompShg","VinylSd",250000
30,"RM",60,10800,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",4,7,1885,1995,"Mansard","CompShg","VinylSd",100000
20,"RM",50,6000,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",5,5,1948,1950,"Gable","CompShg","VinylSd",115000
50,"RM",85,8500,"Pave","Reg","Lvl","AllPub","Corner","Gtl","IDOTRR","Artery","Norm","1Fam","1.5Fin",5,7,1919,2005,"Gable","CompShg","CemntBd",115000
20,"RL",105,11751,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,6,1977,1977,"Hip","CompShg","Plywood",190000
50,"RL",75,9525,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",6,4,1954,1972,"Gable","CompShg","Wd Sdng",136900
60,"RL",77,9965,"Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2007,2007,"Gable","CompShg","VinylSd",383970
70,"RL",61,7259,"Pave","IR1","Lvl","AllPub","Inside","Mod","Crawfor","Norm","Norm","1Fam","2Story",6,8,1945,2002,"Gambrel","CompShg","Wd Sdng",259500
160,"FV",34,3230,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",6,5,1999,1999,"Gable","CompShg","MetalSd",176000
20,"RL",74,8536,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,5,2006,2007,"Gable","CompShg","VinylSd",155000
60,"RL",90,12376,"Pave","Reg","Lvl","AllPub","Corner","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1990,1990,"Hip","CompShg","Plywood",320000
60,"RL",65,8461,"Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",6,5,2005,2006,"Gable","CompShg","VinylSd",163990
50,"RM",50,6060,"Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Fin",4,5,1939,1950,"Gable","CompShg","AsbShng",100000
20,"RL",75,9464,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,1958,1958,"Hip","CompShg","MetalSd",136000
120,"RL",55,7892,"Pave","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story",6,5,1993,1993,"Gable","CompShg","Plywood",153900
20,"RL",48,17043,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,5,1979,1998,"Gable","CompShg","HdBoard",181000
190,"RM",60,6780,"Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","2fmCon","1.5Fin",6,8,1935,1982,"Gable","CompShg","Wd Sdng",84500
45,"RM",55,4388,"Pave","IR1","Bnk","AllPub","Inside","Gtl","OldTown","Feedr","Norm","1Fam","1.5Unf",5,7,1930,1950,"Gable","CompShg","WdShing",87000
60,"RL",69,7590,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","PosN","Norm","1Fam","2Story",6,5,1966,1966,"Gable","CompShg","VinylSd",155000
20,"RL",69,8973,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1958,1991,"Gable","CompShg","Plywood",150000
60,"RL",88,14200,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","2Story",7,6,1966,1966,"Gable","CompShg","MetalSd",226000
20,"RL",75,7388,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1959,2002,"Gable","CompShg","MetalSd",150750
20,"RL",78,10335,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1968,1993,"Gable","CompShg","Plywood",180000
20,"RL",80,10400,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",7,6,1970,1970,"Hip","CompShg","Plywood",174000
90,"RL",82,11070,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","Duplex","1Story",7,5,1988,1989,"Gable","CompShg","VinylSd",171000
60,"RL",73,9066,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",8,5,1999,2000,"Gable","CompShg","VinylSd",230000
60,"RL",65,15426,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",6,5,1997,1997,"Gable","CompShg","VinylSd",231500
20,"RL",70,10500,"Pave","Reg","Lvl","AllPub","FR2","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1971,1971,"Gable","CompShg","HdBoard",115000
20,"RL",78,11645,"Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd",260000
50,"RL",71,8520,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Artery","Norm","1Fam","1.5Fin",5,4,1952,1952,"Gable","CompShg","BrkFace",166000
20,"RL",78,10335,"Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,1999,1999,"Gable","CompShg","VinylSd",204000
90,"RM",70,9100,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","RRAe","Norm","Duplex","1Story",5,5,1963,1963,"Gable","CompShg","HdBoard",125000
160,"RM",24,2522,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Twnhs","2Story",6,5,2004,2006,"Gable","CompShg","VinylSd",130000
30,"RM",51,6120,"Pave","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1Story",5,7,1931,1993,"Gable","CompShg","Wd Sdng",105000
20,"RL",63,7500,"Pave","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",7,5,2004,2005,"Gable","CompShg","VinylSd",141000
20,"RL",120,10356,"Pave","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,6,1975,1975,"Gable","CompShg","HdBoard",122000
20,"RL",107,13891,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Hip","CompShg","VinylSd",372402
30,"RM",84,11340,"Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","1Story",6,5,1923,1950,"Gable","CompShg","Wd Sdng",125000
50,"RL",60,9600,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Edwards","Artery","Norm","1Fam","1.5Fin",6,5,1924,1950,"Gable","CompShg","Wd Sdng",79000
20,"RL",60,7200,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1950,1950,"Hip","CompShg","Wd Sdng",109500
60,"RL",92,12003,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Timber","Norm","Norm","1Fam","2Story",8,5,2009,2010,"Gable","CompShg","VinylSd",269500
60,"FV",100,12552,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,2004,2005,"Gable","CompShg","VinylSd",254900
60,"RL",134,19378,"Pave","IR1","HLS","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2005,2006,"Gable","CompShg","VinylSd",320000
60,"RL",110,13688,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2003,2004,"Gable","CompShg","VinylSd",412500
20,"RL",95,12182,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd",220000
45,"RL",55,5500,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Unf",4,6,1956,1956,"Gable","CompShg","MetalSd",103200
40,"RM",40,5400,"Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","1Story",6,7,1926,2004,"Gable","CompShg","MetalSd",152000
190,"RL",62,10106,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","2fmCon","1.5Fin",5,7,1940,1999,"Gable","CompShg","Wd Sdng",127500
60,"RL",86,10562,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2007,2007,"Gable","CompShg","VinylSd",325624
60,"RL",62,8244,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd",183500
20,"RL",141,31770,"Pave","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","BrkFace",215000
160,"RL",44,5306,"Pave","IR1","Lvl","AllPub","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","2Story",7,7,1987,1987,"Gable","CompShg","HdBoard",239000
20,"RL",80,10197,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1961,1961,"Gable","CompShg","WdShing",163000
20,"RL",47,12416,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",6,5,1986,1986,"Gable","CompShg","VinylSd",184000
20,"RL",84,12615,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story",6,7,1950,2001,"Gable","CompShg","WdShing",243000
60,"RL",97,10029,"Pave","IR1","Lvl","AllPub","Corner","Gtl","ClearCr","Norm","Norm","1Fam","2Story",6,5,1988,1989,"Gable","CompShg","Plywood",211000
20,"RL",63,17423,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","StoneBr","Norm","Norm","1Fam","1Story",9,5,2008,2009,"Hip","CompShg","VinylSd",501837
30,"RM",60,8520,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",5,6,1923,2006,"Gable","CompShg","Wd Sdng",100000
70,"RL",54,7588,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,6,1920,1950,"Gable","CompShg","Stucco",200100
20,"RL",60,9060,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Artery","Norm","1Fam","1Story",5,6,1957,2006,"Hip","CompShg","Wd Sdng",120000
